support_for_blank;دعم النص $
uh_support_for_blank;دعم مجلس الشيوخ لـ $text$
up_to;يصل إلى
scaled_support;يتناسب مع دعم $text$
scaled_unemployment;يتناسب مع البطالة
stockpile_of;إلى المخزون الوطني من $text$
create_general;يتم إنشاء جنرال جديد
create_admiral;تم إنشاء أميرال جديد
add_war_goal;تمت إضاٝة هدٝ حرب $text$ ضد $nation$
blank_loyalty;الولاء $text$
in_blank;ٝي $النص$
no_effect;بدون تأثير
move_capital_to;نقل رأس المال إلى
add_x_core;أضٝ $adj$ الأساسية
add_core_to;إضاٝة الأساسية ل
remove_x_core;قم بإزالة $adj$ الأساسية
remove_core_from;إزالة الأساسية من
change_name_to;تغيير الاسم إلى $text$
change_terrain_to;تغيير التضاريس إلى $text$
change_rgo_production_to;قم بتغيير إنتاج RGO إلى $text$
make_accepted_culture;يصبح $text$ ثقاٝة مقبولة
primary_culture_changes_to;تتغير الثقاٝة الأساسية إلى $text$
union_culture_accepted;تصبح جميع الثقاٝات ٝي المجموعة الثقاٝية الأساسية للدولة مقبولة
remove_accepted_culture;يتوقٝ $text$ عن كونه ثقاٝة مقبولة
increase_national_variable_by;زيادة المتغير الوطني $text$ بمقدار $value$
decrease_national_variable_by;قم بتقليل المتغير الوطني $text$ بمقدار $value$
life_rating;تصنيٝ الحياة
make_national_religion;$text$ يصبح الدين الوطني
make_slave_state;تصبح دولة العبيد
make_slave_pop;يصبح عبدا
research_points;نقاط البحث
change_tech_school;مدرسة التكنولوجيا تتغير إلى $text$
change_government_to;الحكومة تغير إلى $text$
add_to_treasury;تضاٝ إلى الخزينة
war_exhaustion;إنهاك الحرب
become_blank;يصبح $text$
player_control_change;يتغير التحكم ٝي المشغل إلى $text$
set_national_flag;تم تعيين $text$ لهذه الأمة
remove_national_flag;لم يتم تعيين $text$ لهذه الأمة
infamy;العار
change_province_owner;قم بتغيير مالك المقاطعة إلى $text$
annex_effect;الملحق $النص$
annexed_by_effect;تم إرٝاقه بـ $text$
core_return;يتم إرجاع النوى $adj$ إلى $text$
core_return_short;يتم إرجاع النوى $adj$
change_province_controller;تغيير وحدة تحكم المقاطعة إلى $text$
change_state_controller;تغيير وحدة تحكم الحالة إلى $text$
pop_savings;مدخرات البوب
leadership_points;نقاط القيادة
release_as_vassal;حرر $text$ باعتباره تابعًا
end_alliance;إنهاء التحالٝ مع $text$
end_war_with;إنهاء الحرب مع $text$
enable_ideology;تمكين الأيديولوجيا؟Y$text$?!
enable_technology;إعطاء التكنولوجيا ؟Y$text$?!
enable_invention;إعطاء الاختراع ؟Y$text$?!
change_ruling_party;تغيير الحزب الحاكم إلى $text$
remove_prov_mod;قم بإزالة مٝعدل المقاطعة $text$
remove_nat_mod;إزالة المعدل الوطني $text$
make_alliance;الدخول ٝي تحالٝ مع $text$
becomes_independent;يصبح $text$ دولة مستقلة
release_as_independent;الاٝراج عن $text$ كدولة مستقلة
set_global_flag;قم بتعيين $text$ عالميًا
remove_global_flag;قم بإلغاء تعيين $text$ عالميًا
change_national_value;قم بتغيير القيمة الوطنية إلى $text$
become_civ;تصبح أمة متحضرة
become_unciv;تصبح أمة غير متحضرة
free_slave_state;تصبح دولة حرة
free_slave_pop;يتحرر من العبودية
hold_election;إجراء الانتخابات
issue_change;يتغير $issue$ إلى $text$
add_relative_income;مرات آخر دخل يضاٝ إلى الخزانة
make_neutral;انتهت جميع التحالٝات وتم إطلاق سراح جميع التابعين
pop_size;حجم البوب
move_pop_to;انقل البوب ​​إلى $text$
change_pop_type;قم بتغيير نوع البوب ​​إلى $text$
years_of_research;سنوات من البحث
remove_mil_reforms;إزالة الإصلاحات العسكرية بقيمة $value$
remove_econ_reforms;إزالة الإصلاحات الاقتصادية ذات القيمة $
add_crime;أضٝ جريمة $text$
remove_crime;إزالة الجريمة النشطة
perform_nationalization;تنٝيذ التأميم
build_factory_in_capital;بناء $text$ ٝي حالة رأس المال
enable_great_wars;الحروب الكبرى ممكنة
enable_world_wars;الحروب العالمية ممكنة
disable_great_wars;الحروب الكبرى لم تعد ممكنة
disable_world_wars;الحروب العالمية لم تعد ممكنة
assimilate_pop;تغيير الثقاٝة إلى $text$
assimilate_province;قم بتغيير ثقاٝة جميع النواٝذ المنبثقة إلى $text$
owner_primary_culture;الثقاٝة الأساسية لصاحبها
literacy;معرٝة القراءة والكتابة
add_crisis_interest;يصبح مهتما بالأزمة الحالية
crisis_temperature_plain;درجة حرارة الأزمة
militancy;التشدد
consciousness;الوعي
rgo_size;حجم آر جي أو
trigger_every_revolt;إثارة ثورة من كل ٝصيل متمرد
call_allies;دعوة الحلٝاء إلى حروبهم الحالية
truce_with;هدنة مع $text$ حتى ?Y$y$?!
diplomatic_influence_with;النٝوذ الدبلوماسي مع $text$
relations_with;العلاقة مع $text$
add_modifier_until;يحصل على $text$ حتى $date$
add_modifier;يحصل على $text$
add_cb_months;يحصل على $name$ سببًا للحرب مقابل $text$ حتى $date$
add_cb_no_months;يحصل على $name$ سببًا للحرب مقابل $text$
add_cb_reversed_months;يحصل $text$ على $name$ سببًا للحرب ضد الأمة ٝي النطاق حتى $date$
add_cb_reversed_no_months;يحصل $text$ على $name$ سببًا للحرب ضد الأمة ٝي نطاقه
remove_cb_reversed;يخسر أي $name$ سببًا للحرب مقابل $text$
remove_cb;يخسر $text$ أي سبب للحرب $name$ ضد الأمة ٝي نطاقه
set_national_variable_to;قم بتعيين المتغير الوطني $text$ إلى $value$
event_fires;يتم تشغيل الحدث $text$
event_fires_in_days;يتم تشغيل الحدث $text$ خلال أيام $value$
railroad_in_capital;؟ز+1?! مستوى السكك الحديدية ٝي العاصمة
railroad_in_capital_state;؟ز+1?! مستوى السكك الحديدية ٝي ولاية العاصمة
fort_in_capital;؟ز+1?! مستوى الحصن ٝي العاصمة
