support_for_blank;поддержка $text$
uh_support_for_blank;верхнѝѝ палата поддерживает $text$
up_to;до
scaled_support; пропорционально поддержке $text$
scaled_unemployment; пропорционален безработице
stockpile_of;в национальный запаѝ $text$
create_general;Создан новый генерал
create_admiral;Создан новый адмирал
add_war_goal;Добавлена ​​цель войны $text$ против $nation$
blank_loyalty;$text$ лоѝльноѝть
in_blank;в $text$
no_effect;Нет ѝффекта
move_capital_to;Перемеѝтить ѝтолицу в
add_x_core;Добавить ѝдро ​​$adj$
add_core_to;Добавить ѝдро ​​в
Remove_x_core;Удалить ѝдро ​​$adj$
Remove_core_from;Удалить ѝдро ​​из
change_name_to;Изменить имѝ на $text$
change_terrain_to;Изменить меѝтноѝть на $text$
change_rgo_production_to;Изменить производѝтво РГО на $text$
make_accepted_culture;$text$ ѝтановитѝѝ принѝтой культурой
primary_culture_changes_to;Primary culture changes to $text$
union_culture_accepted;All cultures in the nation's primary culture group become accepted
remove_accepted_culture;$text$ stops being an accepted culture
increase_national_variable_by;Увеличить национальную переменную $text$ на $value$
decrease_national_variable_by;Уменьшить национальную переменную $text$ на $value$
life_rating;Life rating
make_national_religion;$text$ becomes the national religion
make_slave_state;Becomes a slave state
make_slave_pop;Becomes a slave
research_points;Research points
change_tech_school;Technology school changes to $text$
change_government_to;Government changes to $text$
add_to_treasury;Added to treasury
war_exhaustion;War exhaustion
become_blank;Becomes $text$
player_control_change;Player control changes to $text$
set_national_flag;$text$ is set for this nation
remove_national_flag;$text$ is unset for this nation
infamy;позор
change_province_owner;Изменить владельца провинции на $text$
annex_effect;Annex $text$
annexed_by_effect;Is annexed by $text$
core_return;$adj$ cores are returned to $text$
core_return_short;$adj$ cores are returned
change_province_controller;change province controller to $text$
change_state_controller;change state controller to $text$
pop_savings;Pop savings
leadership_points;Leadership points
release_as_vassal;Release $text$ as a vassal
end_alliance;End alliance with $text$
end_war_with;End war with $text$
enable_ideology;Включить идеологию ?Y$text$?!
enable_technology;Укажите технологию ?Y$text$?!
enable_invention;Укажите изобретение ?Y$text$?!
change_ruling_party;Change ruling party to $text$
remove_prov_mod;Удалить модификатор провинции $text$
remove_nat_mod;Удалить национальный модификатор $text$
make_alliance;Вѝтупить в альѝнѝ ѝ $text$
becomes_independent;$text$ ѝтановитѝѝ незавиѝимым гоѝударѝтвом
release_as_independent;Выпуѝтить $text$ как незавиѝимую нацию
set_global_flag;Уѝтановить $text$ глобально
remove_global_flag;Удалить $text$ глобально
change_national_value;Change national value to $text$
become_civ;Becomes a civilized nation
become_unciv;Becomes an uncivilized nation
free_slave_state;Becomes a free state
free_slave_pop;Is freed from slavery
hold_election;Hold election
issue_change;$issue$ changes to $text$
add_relative_income;Times last income added to treasury
make_neutral;All alliances ended and all vassals released
pop_size;Pop size
move_pop_to;Move pop to $text$
change_pop_type;Change pop type to $text$
years_of_research;Years of research
remove_mil_reforms;Remove $value$ military reforms
remove_econ_reforms;Remove $value$ economic reforms
add_crime;Add crime $text$
remove_crime;Remove active crime
