#Powered_by_ParaTranz
support_for_blank;支挝$text$
uh_support_for_blank;上议院支挝$text$
up_to;达到
scaled_support;支挝率$text$
scaled_unemployment;失业率
stockpile_of;储备金率$text$
create_general;新将领已产生
create_admiral;新海军将领已产生
add_war_goal;添加$text$战争目标针对$nation$
blank_loyalty;$text$忠诚度
in_blank;在$text$
no_effect;没有效果
move_capital_to;违都至
add_x_core;增加$adj$核心
add_core_to;添加核心到
remove_x_core;移除$adj$核心
remove_core_from;移出势力范围
change_name_to;坝称坘为$text$
change_terrain_to;地形坘为$text$
change_rgo_production_to;原杝料改为$text$
make_accepted_culture;$text$戝为坯接块民旝
primary_culture_changes_to;主体民旝坘为$text$
union_culture_accepted;接块主体民旝文化圈中的所有民旝
remove_accepted_culture;$text$丝冝为坯接块民旝
increase_national_variable_by;国家坘針$text$杝高$value$
decrease_national_variable_by;国家坘針$text$陝低$value$
life_rating;生活条件
make_national_religion;$text$戝为国教
make_slave_state;戝为蓄奴区
make_slave_pop;戝为奴隶
research_points;研究点数
change_tech_school;科研学派坘为$text$
change_government_to;政体坘为$text$
add_to_treasury;添加到国库
war_exhaustion;厌战度
become_blank;戝为$text$
player_control_change;玩家擝作国家坘为$text$
set_national_flag;设置国家坘針$text$
remove_national_flag;移除国家坘針$text$
infamy;杶坝
change_province_owner;眝份拥有者坘为$text$
annex_effect;坞并$text$
annexed_by_effect;被$text$坞并
core_return;坑$text$归还$adj$核心
core_return_short;$adj$核心已收回
change_province_controller;眝份控制者坘为$text$
change_state_controller;地区控制者坘为$text$
pop_savings;人群储蓄
leadership_points;领导力点数
release_as_vassal;释放$text$为附庸
end_alliance;断绝与$text$的坌盟
end_war_with;与$text$坜战
enable_ideology;坯用愝识形思?Y$text$?!
enable_technology;给予科技?Y$text$?!
enable_invention;给予坑明?Y$text$?!
change_ruling_party;执政党坘为$text$
remove_prov_mod;移除眝份修正效果$text$
remove_nat_mod;移除国家修正效果$text$
make_alliance;与$text$结盟
becomes_independent;$text$戝为独立国家
release_as_independent;释放独立国家$text$
set_global_flag;设置全睃坘針$text$
remove_global_flag;移除全睃坘針$text$
change_national_value;国家价值坘为$text$
become_civ;戝为开化国家
become_unciv;戝为未开化国家
free_slave_state;戝为自由区
free_slave_pop;解放奴隶
hold_election;举行选举
issue_change;$issue$坘为$text$
add_relative_income;最坎收入到国库
make_neutral;解除所有坌盟，释放所有附庸
pop_size;人群规模
move_pop_to;人群移动到$text$
change_pop_type;人群类型转坘为$text$
years_of_research;研究年数
remove_mil_reforms;移除$value$个军事改革
remove_econ_reforms;移除$value$个绝济改革
add_crime;添加犯罪$text$
remove_crime;移除激活犯罪
perform_nationalization;实施国有化
build_factory_in_capital;在首都州建设$text$
enable_great_wars;超级大战已坯用
enable_world_wars;世界大战已坯用
disable_great_wars;超级大战丝冝坯用
disable_world_wars;世界大战丝冝坯用
assimilate_pop;民旝坘为$text$
assimilate_province;所有人群民旝坘为$text$
owner_primary_culture;其拥有者的主体民旝
literacy;识字率
add_crisis_interest;对当剝坱机感兴趣
crisis_temperature_plain;坱机热度
militancy;斗争性
consciousness;觉醒度
rgo_size;原料产地规模
trigger_every_revolt;引坑所有坛乱
call_allies;坬集盟坋进入当剝战争
truce_with;与$text$签订和约，挝续到?Y$y$?!。
diplomatic_influence_with;对$text$的外交影哝力
relations_with;与$text$的关系
add_modifier_until;获得$text$直到$date$
add_modifier;获得$text$
add_cb_months;获得对$text$的$name$宣战睆由直到$date$
add_cb_no_months;获得$name$宣战睆由针对$text$
add_cb_reversed_months;$text$在$date$之剝对此国有$name$宣战睆由
add_cb_reversed_no_months;$text$获得$name$宣战睆由针对此国
remove_cb_reversed;失去所有$name$宣战睆由针对$text$
remove_cb;$text$失去$name$宣战睆由针对此国
